hour_key,hours,trades,pf,wr,equity,max_dd
hour_23,[23],110,1.6757034502558605,0.4818181818181818,808.9660015890377,284.26510413070173
hour_22,[22],51,1.5171261842198838,0.5294117647058824,269.6839033974229,220.19734933173277
hour_9,[9],141,1.4141320947511802,0.5035460992907801,747.1454488584714,398.9509668678038
hour_16,[16],93,1.409244239956839,0.41935483870967744,756.2669556177289,481.85421763728937
hour_4,[4],101,1.3665126868933375,0.46534653465346537,428.5523211680893,338.30882890407884
hour_14,[14],291,1.3111250677985609,0.5223367697594502,1843.7314790803302,709.5322128842708
hour_2,[2],142,1.3045366640177494,0.49295774647887325,347.81493561249135,252.9977382274028
block_13_16,"[13, 14, 15, 16]",739,1.25374587852174,0.4857916102841678,3835.20374747635,731.0508139687045
hour_15,[15],194,1.238824645757888,0.4639175257731959,1009.7640014058734,626.3510750352289
hour_12,[12],157,1.1736475945509155,0.4840764331210191,601.6555240918888,1226.1352709933362
hour_8,[8],217,1.1705446831656208,0.45161290322580644,443.95570428486735,235.45417105489105
hour_6,[6],203,1.162265767351421,0.4729064039408867,382.0691751983304,449.40980515075535
block_9_16,"[9, 10, 11, 12, 13, 14, 15, 16]",1270,1.152210739598054,0.46771653543307085,3733.551372816012,1705.1906806046827
block_9_22,"[9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",1501,1.1245240870913682,0.4670219853431046,3471.893793652087,2818.3110266878375
hour_13,[13],207,1.10118772503496,0.5169082125603864,482.6383780749484,699.8516586733695
all_hours,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",3148,1.095725163384315,0.4593392630241423,4673.2164088020145,3660.406586441426
hour_0,[0],188,1.0897429668004237,0.4574468085106383,182.24714468537877,250.05345462106743
hour_21,[21],53,1.0335207625639877,0.5094339622641509,20.28297646651572,191.6828129674177
hour_18,[18],116,1.0008360130698677,0.39655172413793105,1.884393749031915,896.2784560323835
hour_1,[1],160,0.9731784224826292,0.4625,-45.437252092337985,390.9009454089555
block_20_22,"[20, 21, 22]",234,0.9694978316230952,0.46153846153846156,-103.45617747702727,1197.6853411807024
block_9_12,"[9, 10, 11, 12]",556,0.9664159803890829,0.4442446043165468,-343.2478465035165,2196.8577200339914
hour_11,[11],151,0.9251491967143722,0.4503311258278146,-187.2834243989655,446.99856954209736
hour_5,[5],139,0.8866768273996959,0.4244604316546763,-202.9272188710902,271.54016188614514
hour_17,[17],115,0.8786155223724365,0.4782608695652174,-305.5825651016976,821.2028433485029
hour_20,[20],132,0.829174071519381,0.4166666666666667,-388.91301068596476,946.904445572116
hour_19,[19],134,0.7888093496907732,0.417910447761194,-421.330365573117,745.445628695692
hour_3,[3],104,0.7475568555505955,0.41346153846153844,-297.7651164951885,370.0780426790843
hour_7,[7],192,0.7408031815259517,0.4375,-809.387342737261,947.2207051035602
hour_10,[10],135,0.5798486901531628,0.37037037037037035,-1168.4284786698317,1208.4738667449938
